A549AMG0.1rep1.htseq	A549AMG0.1rep2.htseq	A549AMG0.1rep3.htseq	A549AMG0.1rep4.htseq	A549DMSOrep1.htseq	A549DMSOrep2.htseq	A549DMSOrep3.htseq	A549DMSOrep4.htseq
DSG3	1	0	0	0	0	0	0	0
DSG4	0	0	0	0	0	0	0	0
DSN1	83	90	88	88	159	335	448	550
DSP	969	1272	1613	1142	280	849	974	1169
DSPP	0	0	0	0	0	0	0	0
DST	824	1156	1448	1053	343	978	1188	1542
DSTN	1028	1254	2040	1638	1050	1540	1720	1962
DSTNP2	67	90	89	95	19	74	104	106
DSTYK	451	565	650	476	141	415	472	591
DTD1	1069	1588	1690	1339	363	922	1078	1393
DTD2	101	167	252	171	39	164	146	239
DTHD1	0	0	0	0	0	0	0	0
DTL	21	21	55	25	94	357	360	460
DTNA	1	0	6	5	0	1	1	0
DTNB	236	248	377	285	75	139	159	205
DTNBP1	183	209	293	250	71	154	239	288
DTWD1	17	44	56	43	13	21	38	52
DTWD2	86	134	141	100	13	92	106	145
DTX1	26	44	28	43	6	5	14	25
DTX2	1549	1914	2902	2543	477	927	1256	1586
DTX2P1-UPK3BP1-PMS2P11	54	112	98	110	28	40	62	69
DTX3	555	792	962	894	139	420	490	669
DTX3L	317	416	635	428	90	358	395	478
DTX4	162	164	253	233	32	195	201	342
DTYMK	428	598	829	675	636	1083	1437	1804
DUBR	74	132	152	117	43	64	100	116
DUOX1	0	1	1	2	0	0	0	0
DUOX2	11	10	10	19	3	4	8	10
DUOXA1	4	16	18	15	0	6	3	10
DUOXA2	0	0	0	0	0	0	0	1
DUPD1	0	0	0	0	0	0	0	0
DUS1L	1491	2098	2736	2568	740	1339	1717	2365
DUS2	327	454	502	448	153	331	467	508
DUS3L	236	320	496	429	153	256	353	362
DUS4L	61	69	102	67	16	53	97	77
DUSP1	2361	3339	4779	3990	1390	3323	4088	4913
DUSP10	276	302	473	323	98	289	355	437
DUSP11	204	302	394	309	52	190	223	279
DUSP12	46	81	104	93	105	89	132	141
DUSP13	1	0	1	0	0	0	1	1
DUSP14	761	941	1414	1056	176	526	670	893
DUSP15	37	35	31	76	1	7	10	24
DUSP16	619	981	1279	1041	100	377	453	523
DUSP18	46	77	106	69	15	50	58	76
DUSP19	14	24	20	38	7	14	30	21
DUSP2	0	1	2	1	0	0	0	0
DUSP21	0	0	0	0	0	0	0	0
DUSP22	219	206	345	249	68	189	203	290
DUSP23	804	1044	1353	1342	305	501	691	840
DUSP26	6	6	3	2	1	1	5	0
DUSP27	1	0	0	0	0	0	0	0
DUSP28	40	71	57	53	18	31	38	45
DUSP3	2356	3073	3993	3147	777	2243	2791	3436
DUSP4	4246	5506	7315	6208	1374	3593	4208	5602
DUSP5	612	842	1037	842	125	364	503	627
DUSP5P1	7	11	6	5	4	8	8	11
DUSP6	161	184	291	215	42	84	129	158
DUSP7	103	135	192	180	72	121	205	271
DUSP8	99	137	213	201	10	34	55	60
DUSP9	41	67	27	84	34	32	130	126
DUT	367	416	660	570	326	498	645	828
DUX4	0	0	0	0	0	0	0	0
DUXA	0	0	0	0	0	0	1	0
DUXAP10	8	13	22	21	5	11	12	12
DUXAP8	71	62	169	92	38	58	71	138
DVL1	770	1186	1561	1405	448	808	1057	1294
DVL2	1002	1333	1958	1436	339	985	1201	1550
DVL3	756	1104	1437	1197	255	760	901	1140
DXO	1	2	0	1	0	0	2	1
DYDC1	0	0	0	0	0	0	0	0
DYDC2	13	16	15	12	1	0	4	2
DYM	196	178	227	188	23	208	212	276
DYNAP	0	0	0	0	0	0	0	0
DYNC1H1	7454	10464	13298	11110	2354	6400	7769	10033
DYNC1I1	0	0	1	0	2	0	0	0
DYNC1I2	1027	1118	1440	1147	492	973	1054	1398
DYNC1LI1	293	363	589	374	88	376	501	570
DYNC1LI2	611	726	935	693	266	782	896	1061
DYNC2H1	31	44	63	41	12	50	23	47
DYNC2LI1	32	49	64	43	19	41	35	53
DYNLL1	1765	2060	3384	2071	758	1815	2167	3024
DYNLL2	350	501	572	496	186	419	579	689
DYNLRB1	2549	3151	4451	3300	595	1897	2334	2986
DYNLRB2	1	1	4	0	0	2	0	0
DYNLT1	563	785	913	746	173	554	598	735
DYNLT3	111	172	217	166	41	121	156	193
DYRK1A	99	115	100	78	47	119	139	210
DYRK1B	1174	1741	2101	2140	250	581	707	912
DYRK2	105	115	161	154	43	74	115	185
DYRK3	168	224	273	276	45	115	143	142
DYRK4	613	783	1143	842	110	427	537	686
DYSF	148	200	258	209	43	103	162	183
DYTN	0	0	0	0	0	0	0	0
DYX1C1	11	7	2	2	4	4	5	3
DYX1C1-CCPG1	0	0	0	0	0	0	0	0
DZANK1	53	53	63	51	13	43	75	59
DZIP1	274	412	484	421	110	287	345	469
DZIP1L	24	63	65	69	10	49	48	65
DZIP3	111	124	205	145	33	131	169	189
E2F1	94	129	163	145	276	614	789	1099
E2F2	2	6	11	9	39	143	153	188
E2F3	174	228	257	171	84	248	278	305
E2F4	1056	1286	1953	1703	451	1206	1513	1811
E2F5	41	39	82	42	25	87	69	108
E2F6	75	117	176	169	61	106	160	198
E2F7	22	20	48	24	31	89	76	84
E2F8	1	8	4	1	6	111	86	110
E4F1	344	506	710	623	186	371	485	513
EAF1	160	189	336	207	84	220	281	314
EAF2	11	11	23	18	4	14	9	17
EAPP	396	477	600	499	104	282	326	526
EARS2	334	442	737	513	170	473	556	773
EBAG9	221	172	380	201	54	227	247	339
EBF1	14	51	56	26	4	17	18	35
EBF2	1	2	2	0	0	0	0	1
EBF3	2	11	7	2	1	3	11	6
EBF4	90	143	219	152	14	25	44	58
EBI3	285	356	622	456	27	77	108	138
EBLN1	0	0	1	0	0	0	0	0
EBLN2	1	1	5	4	0	1	1	1
EBLN3	85	119	163	103	81	166	124	201
EBNA1BP2	1301	1672	2105	1646	680	1813	2245	2796
EBP	1051	1264	1609	1484	657	1684	1943	2568
EBPL	279	352	462	364	141	359	442	611
ECD	413	612	756	493	245	540	515	694
ECE1	3850	5223	6600	5836	945	2427	3212	3840
ECE2	197	303	376	350	106	183	247	294
ECEL1	0	2	2	0	0	0	0	1
ECEL1P2	0	0	0	0	0	0	0	0
ECH1	4989	7268	9270	8415	1577	3333	4178	5392
ECHDC1	152	170	202	170	80	186	249	296
ECHDC2	95	83	117	126	18	55	71	93
ECHDC3	79	146	167	158	45	119	176	166
ECHS1	3132	4043	5434	4666	1163	2631	3418	4355
ECI1	1217	1671	2159	2069	516	838	1078	1456
ECI2	482	638	739	506	187	450	594	705
ECM1	78	105	151	117	5	29	74	80
ECM2	5	1	9	7	1	2	0	0
ECRP	0	0	0	0	0	0	0	0
ECSCR	0	0	0	0	0	0	0	0
ECSIT	335	480	640	677	199	493	560	723
ECT2	9	8	9	11	80	122	62	66
ECT2L	1	1	0	0	0	2	0	0
EDA	34	39	61	40	10	32	36	41
EDA2R	282	353	532	332	62	264	214	314
EDAR	0	0	0	0	2	0	0	1
EDARADD	323	410	441	625	148	260	357	441
EDC3	305	444	615	486	127	382	527	605
EDC4	817	1195	1642	1472	428	1026	1377	1653
EDDM3A	1	0	0	0	0	0	0	0
EDDM3B	0	0	0	0	1	0	0	0
EDEM1	394	456	632	390	134	492	524	627
EDEM2	994	1459	1933	1568	321	796	1171	1434
EDEM3	20	24	38	31	18	35	59	65
EDF1	3379	4250	5822	5260	1123	2814	3383	4336
EDIL3	2	3	7	0	0	5	1	1
EDN1	532	666	834	644	123	441	524	653
EDN2	19	41	28	28	3	4	5	4
EDN3	0	0	0	0	0	0	0	0
EDNRA	1	18	8	5	1	4	14	10
EDNRB	0	0	0	0	0	0	0	0
EDNRB-AS1	0	0	1	0	0	0	0	0
EDRF1	39	113	146	66	32	107	113	191
EDRF1-AS1	0	0	0	1	0	0	0	2
EEA1	38	17	42	39	20	65	72	77
EED	59	106	86	83	26	96	105	183
EEF1A1	107347	134290	171937	131997	38817	101090	118606	149872
EEF1A2	8139	11331	15187	14249	3154	5798	7286	9307
EEF1AKMT1	80	91	109	68	25	57	56	93
EEF1B2	3523	4371	5817	4457	1912	3697	4313	5621
EEF1D	7120	9852	12828	12276	3382	5824	7766	9517
EEF1DP3	0	0	0	0	0	0	0	0
EEF1E1	5	4	6	2	3	4	8	12
EEF1E1-BLOC1S5	0	0	0	0	0	0	0	0
EEF1G	27990	36795	45752	38616	9172	25407	31319	40338
EEF2	36141	50032	70281	58424	11842	29763	38398	47365
EEF2K	265	437	448	307	140	425	478	630
EEF2KMT	174	239	361	283	64	200	230	334
EEFSEC	309	375	592	446	88	206	274	398
EEPD1	484	582	732	610	163	463	508	634
EFCAB1	0	3	1	2	0	0	2	1
EFCAB10	23	26	63	28	0	8	14	11
EFCAB11	26	32	66	37	13	73	70	115
EFCAB12	14	22	16	19	2	5	8	8
EFCAB13	12	10	4	3	3	0	4	5
EFCAB14	279	364	542	271	160	481	482	641
EFCAB14-AS1	0	0	0	0	0	0	0	0
EFCAB2	46	52	55	51	4	37	18	37
EFCAB3	0	0	0	0	0	0	0	0
EFCAB5	5	0	2	0	3	0	6	8
EFCAB6	1	10	12	14	1	7	0	2
EFCAB6-AS1	0	0	0	0	0	0	0	0
EFCAB7	9	19	17	4	2	17	3	10
EFCAB9	0	0	0	0	0	0	0	0
EFCC1	0	0	1	0	0	0	0	0
EFEMP1	207	225	344	300	178	344	336	436
EFEMP2	25	39	56	50	4	7	12	28
EFHB	1	0	1	0	0	1	6	4
EFHC1	44	59	95	46	17	56	53	74
EFHC2	0	0	0	0	0	0	0	0
EFHD1	13	7	14	23	3	8	11	30
EFHD2	1673	2228	2822	2860	913	1596	2018	2409
EFL1	432	546	733	586	193	488	636	778
EFNA1	1637	2122	2781	2339	228	656	797	1131
EFNA2	51	54	50	48	9	23	44	26
EFNA3	91	115	173	140	25	78	57	108
EFNA4	164	265	334	266	42	146	188	213
EFNA5	255	349	516	336	94	321	400	439
EFNB1	345	557	685	751	63	138	210	297
EFNB2	20	11	28	23	9	47	50	37
EFNB3	62	52	72	29	12	15	29	35
EFR3A	183	228	282	249	142	229	294	347
EFR3B	364	533	663	509	112	355	411	469
EFS	9	13	1	13	6	7	18	22
EFTUD1P1	1	2	7	5	0	0	7	5
EFTUD2	2900	3856	4854	3893	1230	3495	4147	5237
EGF	5	7	3	5	3	6	4	11
EGFEM1P	0	0	0	0	0	0	0	0
EGFL6	2	0	0	0	0	0	0	0
EGFL7	654	1093	1359	1435	302	564	635	651
EGFL8	0	0	0	0	0	0	0	0
EGFLAM	1	1	0	0	0	0	0	0
EGFLAM-AS2	0	0	0	0	0	0	0	0
EGFLAM-AS4	0	0	0	0	0	0	0	0
EGFR	261	405	456	410	198	495	725	764
EGFR-AS1	0	0	1	3	2	4	2	1
EGLN1	548	770	1031	757	267	697	795	916
EGLN2	99	122	140	103	58	116	131	154
EGLN3	55	67	126	87	28	44	43	89
EGOT	0	4	0	1	0	0	1	0
EGR1	66	106	170	137	16	42	28	39
EGR2	0	1	8	4	0	3	1	6
EGR3	0	2	1	0	1	1	0	0
EGR4	1	5	1	0	0	2	2	1
EHBP1	526	708	996	752	323	609	777	957
EHBP1L1	886	1233	1422	1562	480	955	1199	1577
EHD1	1628	2345	3249	2748	514	1259	1475	2113
EHD2	3842	5700	7027	6482	1373	3372	4400	5362
EHD3	581	801	890	855	88	396	412	630
EHD4	300	382	545	455	103	339	329	471
EHD4-AS1	1	0	1	0	0	0	0	0
EHF	93	93	120	81	19	44	53	58
EHHADH	42	42	61	52	12	76	55	76
EHHADH-AS1	0	0	0	0	0	0	0	0
EHMT1	860	1341	1701	1500	436	1065	1187	1630
EHMT1-IT1	0	0	1	4	1	0	1	0
EHMT2	0	1	2	3	0	1	0	0
EI24	1107	1526	1826	1538	508	1130	1225	1524
EID1	725	867	1220	1035	347	647	815	915
EID2	557	754	965	863	194	511	555	829
EID2B	98	89	156	129	44	70	82	96
EID3	2	5	12	14	2	16	32	21
EIF1	6819	8539	13101	10201	3444	7490	8576	10857
EIF1AD	414	540	606	502	119	375	469	565
EIF1AX	267	348	512	450	269	430	556	728
EIF1AX-AS1	0	0	0	0	0	0	0	0
EIF1AY	40	40	68	45	19	46	69	70
EIF1B	215	259	456	324	37	226	297	351
EIF1B-AS1	8	4	8	3	0	2	1	3
EIF2A	343	343	683	294	81	420	387	596
EIF2AK1	2260	3039	4376	2770	848	2701	3047	3988
EIF2AK2	280	288	349	305	80	191	276	401
EIF2AK3	37	41	41	25	18	64	65	93
EIF2AK4	835	924	1144	1004	280	790	832	1043
EIF2B1	854	1027	1300	1107	296	893	1141	1308
EIF2B2	820	1219	1539	1208	295	709	852	942
EIF2B3	186	302	396	229	101	271	358	435
EIF2B4	900	1257	1697	1335	315	952	1044	1292
EIF2B5	408	504	729	603	143	513	591	688
EIF2B5-AS1	0	0	1	0	0	0	0	0
EIF2D	948	1246	1717	1378	323	860	1057	1168
EIF2S1	516	559	774	618	305	797	820	948
EIF2S2	2109	2759	3711	2747	1039	2410	2742	3462
EIF2S3	2383	2741	3774	2742	927	2792	3329	4299
EIF3A	3375	4470	4869	4395	1958	3680	4348	5312
EIF3B	3028	4121	5194	4589	2038	4598	5634	7186
EIF3C	3	6	12	12	3	8	3	14
EIF3CL	0	0	0	0	0	0	0	0
EIF3D	3093	4102	4911	4252	1124	2974	3854	4567
EIF3E	153	208	418	201	299	481	234	270
EIF3F	4112	5220	6919	5780	1409	3563	4463	5935
EIF3G	1972	2661	3432	3162	763	1720	2195	2777
EIF3H	2425	2700	4407	2999	692	2118	2462	3292
EIF3I	4196	5431	6779	5348	966	3770	4630	6020
EIF3IP1	1	1	0	1	1	0	0	1
EIF3J	212	240	315	198	187	312	370	421
EIF3J-AS1	48	101	111	83	25	40	78	87
EIF3K	5097	7521	7848	8176	2581	5355	6447	8241
EIF3L	3484	3864	5681	3917	962	3604	4152	5449
EIF3M	310	396	631	427	673	486	443	583
EIF4A1	0	0	0	0	0	0	0	0
EIF4A2	581	729	891	670	271	652	726	905
EIF4A3	1349	1713	2110	1826	954	2166	2673	3384
EIF4B	4350	5326	6906	4845	2003	4982	5617	7102
EIF4E	62	105	134	108	106	208	168	301
EIF4E1B	0	0	0	0	0	0	0	0
EIF4E2	1079	1319	1556	1314	350	1087	1242	1508
EIF4E3	51	75	127	75	32	87	85	96
EIF4EBP1	2472	3411	4716	4299	1386	2569	3198	3983
EIF4EBP2	343	432	573	359	139	438	532	713
EIF4EBP3	0	0	0	0	0	0	0	0
EIF4ENIF1	241	312	394	315	69	308	360	480
EIF4G1	4427	6244	8152	6754	2557	6510	8124	10035
EIF4G2	5088	6693	8642	6372	3242	8268	9141	11481
EIF4G3	850	1311	1476	1043	260	1034	1131	1347
EIF4H	2345	3028	4600	3385	837	3020	3894	5141
EIF5	865	992	1416	1080	356	1100	1097	1440
EIF5A	14735	18885	25577	21597	7215	18013	22559	28815
EIF5A2	64	72	72	58	14	54	58	80
EIF5AL1	289	444	395	600	151	310	412	527
EIF5B	1414	1728	2051	1508	911	1685	1604	2148
EIF6	3380	4698	6089	5163	1159	3503	4295	5637
ELAC1	25	29	47	47	7	29	42	73
ELAC2	1879	2474	3383	2745	892	2230	2876	3751
ELANE	5	8	5	5	1	5	8	1
ELAVL1	825	1158	1640	1094	365	1129	1538	1841
ELAVL2	1	1	0	4	0	0	0	0
ELAVL3	2	3	3	1	0	1	2	0
ELAVL4	0	0	0	0	0	0	0	0
ELDR	0	2	0	0	0	0	0	0
ELF1	65	114	167	114	50	176	181	291
ELF2	47	50	77	53	35	59	53	111
ELF3	3131	4053	5843	4868	688	1912	2378	2877
ELF4	720	889	1111	892	238	721	928	1161
ELF5	0	0	0	0	0	0	0	0
ELFN1	3	3	18	9	0	0	1	0
ELFN1-AS1	0	0	0	0	0	0	0	0
ELFN2	165	334	404	364	115	321	403	489
ELK1	814	1032	1480	1200	195	780	974	1300
ELK2AP	2	3	0	3	1	1	1	0
ELK3	312	450	591	411	101	307	418	561
ELK4	50	58	107	66	19	80	97	142
ELL	99	157	239	232	49	128	168	192
ELL2	184	254	282	203	90	246	228	313
ELL3	17	39	32	15	9	10	12	20
ELMO1	93	175	232	145	12	60	97	107
ELMO1-AS1	0	0	0	0	0	0	0	0
ELMO2	724	969	1245	948	274	797	967	1240
ELMO3	18	5	29	43	9	23	19	30
ELMOD1	3	1	7	10	0	6	2	3
ELMOD2	55	70	97	63	36	68	44	76
ELMOD3	203	232	386	349	39	201	218	297
ELMSAN1	145	280	324	283	90	304	406	501
ELN	0	2	0	3	1	0	1	1
ELOF1	926	1209	1721	1427	317	875	1167	1443
ELOVL1	1669	2169	2814	2259	502	1620	1976	2370
ELOVL2	26	26	49	32	22	59	77	94
ELOVL2-AS1	4	0	0	0	0	0	0	1
ELOVL3	8	19	35	9	2	15	7	14
ELOVL4	20	31	37	42	24	16	25	20
ELOVL5	500	675	745	598	190	807	916	1129
ELOVL6	290	346	463	388	200	415	501	611
ELOVL7	103	86	157	122	25	75	73	135
ELP2	145	117	187	192	91	117	127	183
ELP3	605	781	987	718	189	689	728	926
ELP4	141	214	233	250	56	126	119	185
ELP5	646	888	1053	1001	276	737	836	1091
ELP6	250	361	419	350	105	230	293	393
ELSPBP1	0	0	0	1	0	1	0	1
EMB	18	34	40	17	14	24	25	43
EMBP1	1	1	11	10	0	2	2	4
EMC1	618	895	1134	920	268	831	882	1235
EMC10	3449	4630	6768	5824	1341	3003	3644	4430
EMC2	79	106	123	74	35	88	108	76
EMC3	763	751	1276	952	263	671	742	1003
EMC3-AS1	35	36	61	46	32	59	70	120
EMC4	1428	1726	2508	1870	521	1270	1538	2035
EMC6	185	221	370	319	93	157	191	256
EMC7	1045	1215	1775	1259	285	824	1029	1375
EMC8	572	740	906	943	295	701	874	1091
EMC9	318	486	535	612	197	336	427	542
EMCN	0	0	0	0	0	0	0	0
EMD	1297	1760	2613	2085	434	1287	1672	2154
EME1	28	59	39	45	69	245	270	332
EME2	28	52	44	43	21	24	37	28
EMG1	543	700	876	744	381	668	749	1014
EMID1	5	18	11	25	0	13	2	4
EMILIN1	14	18	49	36	7	16	21	14
EMILIN2	102	193	220	200	17	49	109	146
EMILIN3	0	3	6	3	0	6	2	0
EML1	393	503	635	399	179	585	693	852
EML2	638	834	1053	1006	75	200	289	329
EML2-AS1	90	107	105	106	13	30	39	54
EML3	458	650	833	701	179	362	440	701
EML4	184	234	281	256	106	334	379	510
EML5	7	10	5	4	2	13	12	15
EML6	5	13	7	6	5	5	15	17
EMP1	39	56	58	41	24	76	97	124
EMP2	175	232	322	251	171	645	737	1038
EMP3	2655	3205	4735	3692	695	2643	3266	4443
EMSY	86	73	79	62	16	126	149	173
EMX1	1	6	6	3	0	1	0	3
EMX2	0	0	0	1	0	0	0	1
EMX2OS	1	2	1	0	0	1	1	0
EN1	89	117	151	133	20	72	94	100
EN2	49	83	78	73	21	45	42	72
ENAH	541	736	770	676	294	863	911	1244
ENAM	0	0	0	0	0	0	0	1
ENC1	270	408	500	376	126	378	411	443
ENDOD1	106	184	172	125	46	118	152	243
ENDOG	165	238	310	309	105	189	229	284
ENDOU	0	2	0	7	0	1	0	0
ENDOV	338	538	658	689	132	272	452	429
ENG	12	39	31	20	4	13	12	32
ENGASE	681	1061	1376	1306	193	475	643	769
ENHO	36	40	60	46	24	20	42	43
ENKD1	83	128	149	181	46	70	136	123
ENKUR	2	5	1	4	1	1	5	0
ENO1	31255	42939	52525	47999	14203	36370	46204	58548
ENO1-AS1	0	1	0	0	0	0	0	0
ENO2	1515	2185	2387	2282	509	1334	1569	2053
ENO3	427	653	724	562	148	357	398	439
ENO4	5	21	19	4	4	5	8	9
ENOPH1	387	491	604	492	158	328	462	555
ENOSF1	321	362	478	355	133	339	343	487
ENOX1	7	15	23	23	3	23	20	6
ENOX1-AS2	0	0	0	0	0	0	0	0
ENOX2	86	133	140	86	36	147	173	189
ENPEP	2	1	2	1	0	0	1	4
ENPP1	15	34	32	36	3	52	23	31
ENPP2	2	0	0	0	0	1	0	0
ENPP3	0	0	0	0	0	0	0	1
ENPP4	2	0	4	8	1	1	0	6
ENPP5	0	0	0	0	0	0	0	0
ENPP6	0	1	0	1	0	0	0	0
ENPP7	0	3	1	1	0	0	0	0
ENPP7P13	0	0	0	0	0	0	0	0
ENSA	1970	2761	3385	2928	878	2226	2781	3736
ENTHD1	0	0	0	0	1	0	1	0
ENTHD2	301	432	544	576	120	277	412	497
ENTPD1	147	192	262	211	86	159	215	261
ENTPD1-AS1	0	1	1	3	0	1	2	3
ENTPD2	1	6	1	5	0	1	0	2
ENTPD3	0	1	2	5	0	0	0	2
ENTPD3-AS1	4	1	1	1	1	0	1	1
ENTPD4	459	658	978	604	174	678	725	790
ENTPD5	34	60	105	69	20	62	55	77
ENTPD6	1785	2392	3012	2827	779	1718	2046	2747
ENTPD7	75	112	156	99	31	110	103	188
ENTPD8	0	3	7	2	1	0	0	0
ENY2	453	459	698	488	318	499	594	720
EOGT	20	36	27	27	23	45	75	76
EOMES	8	3	18	24	5	16	6	9
EP300	454	715	983	669	153	673	809	1042
EP300-AS1	1	2	3	2	1	5	0	10
EP400	735	1127	1424	1258	420	1174	1512	1675
EP400NL	11	13	24	16	3	14	9	23
EPAS1	5611	8324	10879	8468	2654	7229	8689	10885
EPB41	137	239	334	201	61	199	186	243
EPB41L1	2063	2946	3841	2947	636	2167	2429	2934
EPB41L2	249	239	321	248	207	783	1004	1193
EPB41L3	0	0	0	0	0	0	0	0
EPB41L4A	73	69	93	65	29	76	78	81
EPB41L4A-AS1	189	261	361	300	43	88	118	137
EPB41L4A-AS2	4	7	2	9	0	3	8	2
EPB41L4B	111	125	162	151	33	142	128	185
EPB41L5	73	80	132	74	20	58	103	126
EPB42	1	0	1	0	0	0	0	0
EPC1	117	151	159	89	32	156	186	194
EPC2	68	88	157	79	20	131	131	156
EPCAM	5	3	10	2	2	1	7	2
EPDR1	818	1158	1540	1263	479	1060	1210	1571
EPG5	140	192	224	157	76	183	253	349
EPGN	0	0	0	0	0	0	0	0
EPHA1	1	0	0	1	0	1	0	0
EPHA1-AS1	2	0	0	1	0	0	0	1
EPHA10	16	34	55	40	7	17	34	34
EPHA2	2999	4738	5885	5588	1020	2394	3086	3716
EPHA3	0	0	0	0	0	0	0	0
EPHA4	39	46	48	39	5	27	29	25
EPHA5	4	8	10	3	1	24	12	20
EPHA5-AS1	5	3	1	1	6	3	8	8
EPHA6	3	4	1	3	0	0	6	1
EPHA7	1	0	0	0	0	0	0	0
EPHA8	1	3	5	2	0	0	2	0
EPHB1	6	7	17	22	2	3	15	4
EPHB2	3627	5050	6255	5682	1047	2797	3522	4618
EPHB3	16	26	30	31	2	2	5	18
EPHB4	888	1333	1706	1458	359	956	1113	1308
EPHB6	40	56	63	44	2	11	26	24
EPHX1	8245	11144	13727	12837	2060	5474	6916	8556
EPHX2	234	239	417	303	50	148	187	234
EPHX3	1	0	0	0	0	0	3	0
EPHX4	3	7	5	6	1	1	7	4
EPM2A	29	45	30	39	9	15	37	32
EPM2AIP1	55	70	84	81	23	62	84	100
EPN1	3654	5201	6820	6773	2087	3745	4810	6174
EPN2	722	1027	1347	1099	167	664	750	981
EPN2-AS1	0	1	0	0	0	4	0	0
EPN2-IT1	0	1	1	1	1	1	9	7
EPN3	37	34	57	29	7	6	6	11
EPO	0	2	4	0	0	0	0	1
EPOR	176	170	259	220	39	104	139	158
EPPIN	0	0	0	0	0	0	0	0
EPPIN-WFDC6	0	0	0	0	0	0	0	0
EPPK1	45	73	77	94	24	25	50	34
EPRS	1327	1709	2186	1551	778	1729	1749	2161
EPS15	152	199	268	171	55	173	215	248
EPS15L1	407	538	783	574	150	401	485	623
EPS8	113	141	250	189	51	258	231	370
EPS8L1	75	70	117	104	23	50	46	83
EPS8L2	3744	5192	7629	6796	809	1879	2280	2884
EPS8L3	3	12	3	4	1	0	0	9
EPSTI1	0	0	2	0	1	1	1	1
EPT1	159	199	226	155	52	202	283	318
EPX	0	1	1	0	0	1	0	1
EPYC	0	0	0	0	0	0	0	0
EQTN	0	0	0	0	0	0	0	0
ERAL1	1399	1906	2450	1954	543	1603	1925	2552
ERAP1	193	174	237	156	42	179	185	248
ERAP2	26	31	22	36	5	22	20	37
ERAS	0	0	1	0	0	0	0	0
ERBB2	1340	1969	2410	2171	588	1321	1803	2283
ERBB2IP	151	216	300	210	116	368	298	432
ERBB3	25	27	18	25	10	25	21	38
ERBB4	0	0	0	0	0	0	0	0
ERC1	593	772	1010	731	242	772	985	1225
ERC2	9	3	10	7	1	1	5	1
ERC2-IT1	0	0	0	0	0	0	0	0
ERCC1	1770	2397	3057	2769	593	1347	1782	2220
ERCC2	211	281	423	424	109	290	315	384
ERCC3	635	765	963	705	225	604	765	1071
ERCC4	53	64	76	45	35	117	110	112
ERCC5	16	21	44	27	2	15	24	29
ERCC6	21	57	46	48	10	32	39	46
ERCC6-PGBD3	0	0	0	1	0	0	2	0
ERCC6L	7	15	16	6	40	98	118	94
ERCC6L2	41	47	58	29	21	66	78	103
ERCC8	8	21	19	27	6	20	17	32
EREG	161	189	255	176	66	247	343	466
ERF	1774	2742	3855	3183	790	1960	2521	3233
ERG	0	1	0	0	0	1	0	0
ERGIC1	5497	6966	9730	7027	1468	6059	7454	9330
ERGIC2	32	24	32	21	13	44	33	35
ERGIC3	3706	4630	5879	4912	1073	2768	3532	4577
ERH	1634	1989	2745	1807	873	2424	2857	3767
ERI1	86	119	136	98	69	191	162	266
ERI2	5	3	4	1	16	9	1	6
ERI3	863	1265	1394	1208	339	868	1132	1362
ERI3-IT1	0	4	2	2	1	1	2	4
ERICH1	300	438	606	437	151	282	333	427
ERICH1-AS1	0	0	0	0	0	0	0	0
ERICH2	0	1	1	0	0	1	0	2
ERICH3	0	0	1	0	0	0	0	0
ERICH3-AS1	0	0	0	0	0	0	0	0
ERICH4	0	0	0	0	0	0	0	0
ERICH5	169	215	224	200	40	81	133	148
ERICH6	0	4	10	1	0	0	0	2
ERICH6-AS1	10	22	16	25	1	9	12	10
ERICH6B	0	0	1	0	0	0	0	0
ERLEC1	264	317	458	305	135	339	362	471
ERLIN1	604	697	1036	702	399	979	1114	1436
ERLIN2	578	663	808	673	147	496	630	873
ERMAP	85	112	122	84	25	76	113	108
ERMARD	112	137	185	110	44	68	101	149
ERMN	0	0	0	2	0	0	1	0
ERMP1	352	400	527	411	178	410	442	571
ERN1	32	90	79	76	13	31	67	62
ERN2	0	0	0	0	0	0	0	0
ERO1A	358	428	570	433	177	378	443	585
ERO1B	22	32	21	17	1	11	12	6
ERP27	0	1	0	0	0	0	0	0
ERP29	2054	2692	3550	2794	669	1868	2258	3016
ERP44	713	713	1106	819	158	499	614	772
ERRFI1	210	298	416	249	170	525	577	721
ERV3-1	43	51	80	55	11	42	34	59
ERVFRD-1	0	0	0	0	0	4	0	1
ERVH48-1	1	0	0	2	0	0	1	0
ERVK13-1	53	63	89	64	17	38	64	67
ERVMER34-1	1	1	8	0	3	10	6	5
ERVV-1	0	0	0	1	0	0	0	0
ERVV-2	0	0	0	1	0	0	0	0
ESAM	43	60	74	77	34	123	152	170
ESCO1	8	6	12	2	3	1	10	12
ESCO2	3	1	8	0	21	44	65	74
ESD	55	63	116	55	237	127	68	88
ESF1	141	148	183	124	97	144	180	212
ESM1	0	1	0	0	0	0	0	0
ESPL1	81	118	115	105	261	652	788	1116
ESPN	2	1	1	9	0	2	2	5
ESPNL	5	2	3	4	3	2	2	1
ESPNP	0	0	0	0	0	0	2	0
ESR1	0	0	0	0	0	1	0	0
ESR2	0	3	2	2	0	1	2	3
ESRG	1	0	0	1	0	0	0	0
ESRP1	3	0	5	0	7	0	0	1
ESRP2	2	0	4	1	0	0	0	3
ESRRA	785	1000	1478	1504	239	650	783	1099
